Country,Birthrate,Deathrate,GDPpercapita,Unemploymentrate,LifeExpectancy,PublicDebt
Algeria,17.13,4.6,6600,25.4,73,37.4
Argentina,16.9,7.56,12400,14.8,75.91,118
Australia,12.26,7.44,30700,5.1,80.39,17.4
Austria,8.81,9.7,31300,4.4,78.92,64.2
Azerbaijan,20.4,9.86,3800,1.2,63.35,18.9
Bahrain,18.1,4.08,19200,15,74.23,63.8
Bangladesh,30.01,8.4,2000,40,62.08,43
Belgium,10.48,10.22,30600,12,78.62,96.2
Botswana,23.33,29.36,9200,23.8,33.87,8.6
Brazil,16.83,6.15,8100,11.5,71.69,52
Bulgaria,9.66,14.26,8200,12.7,72.03,41.9
Cameroon,34.67,15.4,1900,30,47.84,69.1
Chile,15.44,5.76,10700,8.5,76.58,12.8
China,13.14,6.94,5600,9.8,72.27,31.4
Colombia,20.82,5.59,6600,13.6,71.72,51.8
Costa Rica,18.6,4.33,9600,6.6,76.84,58
Cote d'Ivoire,35.51,14.94,1500,13,48.62,74.8
Croatia,9.57,11.38,11200,13.8,74.45,41.7
Cyprus,12.57,7.64,7135,3.2,77.65,74.9
Czech Republic,9.07,10.54,16800,10.6,76.02,33.5
Denmark,11.36,10.43,32200,6.2,77.62,42.5
Dominican Republic,23.28,7.35,6300,17,67.26,61.1
Ecuador,22.67,4.24,3700,11.1,76.21,49.2
Egypt,23.32,5.26,4200,10.9,71,102.7
El Salvador,27.04,5.85,4900,6.3,71.22,41.7
Estonia,9.91,13.21,14300,9.6,71.77,5.4
Finland,10.5,9.79,29000,8.9,78.35,46.8
France,12.15,9.08,28700,10.1,79.6,67.7
Gabon,36.24,11.72,5900,21,55.75,29.3
Germany,8.33,10.55,28700,10.6,78.65,65.8
Greece,9.72,10.15,21300,10,79.09,112
Guatemala,34.11,6.81,4200,7.5,65.14,32
Honduras,30.38,6.87,2800,28.5,65.6,74.1
Hong Kong,7.23,5.98,34200,6.7,81.39,2.1
Hungary,9.76,13.19,14900,5.9,72.4,58.3
Iceland,13.73,6.68,31900,3.1,80.19,35.9
India,22.32,8.28,3100,9.2,64.35,59.7
Indonesia,20.71,6.25,3500,9.2,69.57,56.2
Iran,16.83,5.55,7700,11.2,69.96,27
Ireland,14.47,7.85,31900,4.3,77.56,31.2
Israel,18.21,6.18,20800,10.7,79.32,104.5
Italy,8.89,10.3,27700,8.6,79.68,105.6
Jamaica,16.56,5.37,4100,15,76.29,146.1
Japan,9.47,8.95,29400,4.7,81.15,164.3
Jordan,21.76,2.63,4500,15,78.24,85.8
Kazakhstan,15.78,9.46,7800,8,66.55,13.7
Kenya,40.13,14.65,1100,40,47.99,74.3
Korea South,10.08,6.26,19200,3.6,75.82,21.3
Kuwait,21.88,2.42,21300,2.2,77.03,29.6
Latvia,9.04,13.7,11500,8.8,71.05,11.8
Lebanon,18.88,6.24,5000,18,72.63,177.9
Libya,26.82,3.48,6700,30,76.5,8.8
Lithuania,8.62,10.92,12500,8,73.97,25.2
Macedonia,12,8.73,7100,37.7,73.73,20
Malaysia,23.07,5.06,9700,3,72.24,45.4
Mauritius,15.62,6.83,12800,10.8,72.38,29.2
Mexico,21.01,4.73,9600,3.2,75.19,23.5
Moldova,15.27,12.79,1900,8,65.18,63.4
Morocco,22.29,5.64,4200,12.1,70.66,70.2
Namibia,25.16,18.36,7300,35,43.93,38.5
Netherlands,11.14,8.68,29500,6,78.81,55.8
New Zealand,13.9,7.53,23200,4.2,78.66,22.1
Nicaragua,24.88,4.49,2300,7.8,70.33,69.5
Norway,11.67,9.45,40000,4.3,79.4,33.1
Oman,36.73,3.86,13100,15,73.13,10.3
Pakistan,30.42,8.45,2200,8.3,63,71.4
Panama,19.96,6.54,6900,12.6,71.94,69.2
Paraguay,29.43,4.53,4800,15.1,74.89,39.2
Peru,20.87,6.26,5600,9.6,69.53,44.1
Philippines,25.31,5.47,5000,11.7,69.91,74.2
Poland,10.78,10.01,12000,19.5,74.41,49.9
Portugal,10.82,10.43,17900,6.5,77.53,61.5
Romania,10.7,11.74,7700,6.3,71.35,23.6
Russia,9.8,14.52,9800,8.3,67.1,28.2
Saudi Arabia,29.56,2.62,12000,25,75.46,75
Senegal,35.21,10.6,1700,48,56.75,55.2
Serbia and Montenegro,12.12,10.49,2400,30,74.73,80
Singapore,9.49,4.16,27800,3.4,81.62,102.5
Slovakia,10.62,9.43,14500,13.1,74.5,46.6
Slovenia,8.95,10.22,19600,6.4,76.14,31.5
South Africa,18.48,21.32,11100,26.2,43.27,45.9
Spain,10.1,9.63,23300,10.4,79.52,53.2
Sri Lanka,15.63,6.49,4000,7.8,73.17,104.3
Sudan,35.17,9.16,1900,18.7,58.54,79.7
Sweden,10.36,10.36,28400,5.6,80.4,51.6
Switzerland,9.77,8.48,33800,3.4,80.39,57.2
Syria,28.29,4.88,3400,20,70.03,32
Taiwan,12.64,6.38,25300,4.5,77.26,32.4
Thailand,15.7,7.02,8100,1.5,71.57,47.6
Trinidad and Tobago,12.81,9.37,10500,10.4,68.91,54.4
Tunisia,15.5,5.09,7100,13.8,74.89,59.2
Turkey,16.83,5.96,7400,9.3,72.36,74.3
Ukraine,10.49,16.42,6300,3.5,66.85,24.7
United Arab Emirates,18.78,4.26,25200,2.4,75.24,17.6
United Kingdom,10.78,10.18,29600,4.8,78.38,39.6
United States,14.14,8.25,40100,5.5,77.71,65
Uzbekistan,26.22,7.95,1800,0.6,64.19,41.5
Venezuela,18.91,4.9,5800,17.1,74.31,43.1
Vietnam,17.07,6.2,2700,1.9,70.61,65.9
Yemen,43.07,8.53,800,35,61.75,46.4
Zambia,41.38,20.23,900,50,39.7,127.5
Zimbabwe,29.74,24.66,1900,70,36.67,52.3
